3;4;37
3;4;38
2;5;38
1;5;37
1;5;36
1;5;35
1;5;34
1;5;33
1;5;32
1;5;31
1;5;30
1;5;29
1;5;28
1;5;27
1;5;26
1;5;25
1;5;24
1;5;23
1;5;22
1;5;21
1;5;20
1;5;19
1;5;18
1;5;17
1;5;16
1;5;15
1;5;14
1;5;13
1;5;12
1;5;11
2;6;11
3;6;12
3;6;13
3;6;14
3;6;15
3;6;16
3;6;17
3;6;18
3;6;19
3;6;20
3;6;21
3;6;22
3;6;23
3;6;24
3;6;25
3;6;26
3;6;27
3;6;28
3;6;29
3;6;30
3;6;31
3;6;32
3;6;33
3;6;34
3;6;35
3;6;36
3;6;37
3;6;38
2;7;38
1;7;37
1;7;36
1;7;35
1;7;34
1;7;33
1;7;32
1;7;31
1;7;30
1;7;29
1;7;28
1;7;27
1;7;26
1;7;25
1;7;24
1;7;23
1;7;22
1;7;21
1;7;20
1;7;19
1;7;18
1;7;17
1;7;16
1;7;15
1;7;14
1;7;13
1;7;12
1;7;11
2;8;11
3;8;12
3;8;13
3;8;14
3;8;15
3;8;16
3;8;17
3;8;18
3;8;19
3;8;20
3;8;21
3;8;22
3;8;23
3;8;24
3;8;25
3;8;26
3;8;27
3;8;28
3;8;29
3;8;30
3;8;31
3;8;32
3;8;33
3;8;34
3;8;35
3;8;36
3;8;37
3;8;38
2;9;38
1;9;37
1;9;36
1;9;35
1;9;34
1;9;33
1;9;32
2;10;32
3;10;33
3;10;34
3;10;35
3;10;36
3;10;37
3;10;38
2;11;38
1;11;37
1;11;36
1;11;35
1;11;34
1;11;33
1;11;32
2;12;32
3;12;33
3;12;34
3;12;35
3;12;36
3;12;37
3;12;38
2;13;38
1;13;37
1;13;36
1;13;35
1;13;34
1;13;33
1;13;32
2;14;32
3;14;33
3;14;34
3;14;35
3;14;36
3;14;37
3;14;38
2;15;38
1;15;37
1;15;36
1;15;35
1;15;34
1;15;33
1;15;32
2;16;32
3;16;33
3;16;34
3;16;35
3;16;36
3;16;37
3;16;38
2;17;38
1;17;37
1;17;36
1;17;35
1;17;34
1;17;33
1;17;32
2;18;32
3;18;33
3;18;34
3;18;35
3;18;36
3;18;37
3;18;38
2;19;38
1;19;37
1;19;36
1;19;35
1;19;34
1;19;33
1;19;32
2;20;32
3;20;33
3;20;34
3;20;35
3;20;36
3;20;37
3;20;38
2;21;38
1;21;37
1;21;36
1;21;35
1;21;34
1;21;33
1;21;32
2;22;32
3;22;33
3;22;34
3;22;35
3;22;36
3;22;37
3;22;38
2;23;38
1;23;37
1;23;36
1;23;35
1;23;34
1;23;33
1;23;32
2;24;32
3;24;33
3;24;34
3;24;35
3;24;36
3;24;37
3;24;38
2;25;38
1;25;37
1;25;36
1;25;35
1;25;34
1;25;33
1;25;32
2;26;32
3;26;33
3;26;34
3;26;35
3;26;36
3;26;37
3;26;38
2;27;38
1;27;37
1;27;36
1;27;35
1;27;34
1;27;33
1;27;32
2;28;32
3;28;33
3;28;34
3;28;35
3;28;36
3;28;37
3;28;38
2;29;38
1;29;37
1;29;36
1;29;35
1;29;34
1;29;33
1;29;32
2;30;32
3;30;33
3;30;34
3;30;35
3;30;36
3;30;37
3;30;38
2;31;38
1;31;37
1;31;36
1;31;35
1;31;34
1;31;33
1;31;32
2;32;32
3;32;33
3;32;34
3;32;35
3;32;36
3;32;37
3;32;38
2;33;38
1;33;37
1;33;36
1;33;35
1;33;34
1;33;33
1;33;32
2;34;32
3;34;33
3;34;34
3;34;35
3;34;36
2;35;36
2;36;36
2;37;36
2;38;36
2;39;36
2;40;36
2;41;36
2;42;36
2;43;36
2;44;36
1;44;35
4;43;35
4;42;35
4;41;35
4;40;35
4;39;35
4;38;35
4;37;35
4;36;35
4;35;35
1;35;34
2;36;34
2;37;34
2;38;34
2;39;34
2;40;34
2;41;34
2;42;34
2;43;34
2;44;34
1;44;33
4;43;33
4;42;33
4;41;33
4;40;33
4;39;33
4;38;33
4;37;33
4;36;33
4;35;33
1;35;32
2;36;32
2;37;32
2;38;32
2;39;32
2;40;32
2;41;32
2;42;32
2;43;32
2;44;32
1;44;31
4;43;31
4;42;31
4;41;31
4;40;31
4;39;31
4;38;31
1;38;30
2;39;30
2;40;30
2;41;30
2;42;30
2;43;30
2;44;30
1;44;29
4;43;29
4;42;29
4;41;29
4;40;29
4;39;29
4;38;29
1;38;28
2;39;28
2;40;28
2;41;28
2;42;28
2;43;28
2;44;28
1;44;27
4;43;27
4;42;27
4;41;27
4;40;27
4;39;27
4;38;27
1;38;26
2;39;26
2;40;26
2;41;26
2;42;26
2;43;26
2;44;26
1;44;25
4;43;25
4;42;25
4;41;25
4;40;25
4;39;25
4;38;25
1;38;24
2;39;24
2;40;24
2;41;24
2;42;24
2;43;24
2;44;24
1;44;23
4;43;23
4;42;23
4;41;23
4;40;23
4;39;23
4;38;23
1;38;22
2;39;22
2;40;22
2;41;22
2;42;22
2;43;22
2;44;22
1;44;21
4;43;21
4;42;21
4;41;21
4;40;21
4;39;21
4;38;21
1;38;20
2;39;20
2;40;20
2;41;20
2;42;20
2;43;20
2;44;20
1;44;19
4;43;19
4;42;19
4;41;19
4;40;19
4;39;19
4;38;19
1;38;18
2;39;18
2;40;18
2;41;18
2;42;18
2;43;18
2;44;18
1;44;17
4;43;17
4;42;17
4;41;17
4;40;17
4;39;17
4;38;17
1;38;16
2;39;16
2;40;16
2;41;16
2;42;16
2;43;16
2;44;16
1;44;15
4;43;15
4;42;15
4;41;15
4;40;15
4;39;15
4;38;15
1;38;14
4;37;14
4;36;14
4;35;14
4;34;14
4;33;14
4;32;14
4;31;14
4;30;14
4;29;14
4;28;14
4;27;14
4;26;14
4;25;14
4;24;14
4;23;14
4;22;14
4;21;14
4;20;14
1;20;13
2;21;13
2;22;13
2;23;13
2;24;13
2;25;13
2;26;13
2;27;13
2;28;13
2;29;13
2;30;13
2;31;13
2;32;13
2;33;13
2;34;13
2;35;13
2;36;13
2;37;13
2;38;13
2;39;13
1;39;12
2;40;12
1;40;11
2;41;11
1;41;10
2;42;10
1;42;9
4;41;9
4;40;9
4;39;9
4;38;9
4;37;9
4;36;9
4;35;9
4;34;9
4;33;9
4;32;9
4;31;9
4;30;9
4;29;9
4;28;9
4;27;9
4;26;9
1;26;8
4;25;8
1;25;7
2;26;7
1;26;6
2;27;6
2;28;6
2;29;6
2;30;6
2;31;6
2;32;6
2;33;6
2;34;6
2;35;6
2;36;6
2;37;6
2;38;6
2;39;6
2;40;6
2;41;6
2;42;6
2;43;6
2;44;6
2;45;6
2;46;6
2;47;6
1;47;5
2;48;5
1;48;4
2;49;4
1;49;3
2;50;3
1;50;2
4;49;2
4;48;2
4;47;2
4;46;2
4;45;2
4;44;2
4;43;2
4;42;2
4;41;2
4;40;2
4;39;2
4;38;2
4;37;2
4;36;2
4;35;2
4;34;2
4;33;2
4;32;2
4;31;2
4;30;2
4;29;2
4;28;2
4;27;2
4;26;2
4;25;2
4;24;2
4;23;2
4;22;2
4;21;2
4;20;2
4;19;2
4;18;2
4;17;2
4;16;2
3;16;3
2;17;3
2;18;3
2;19;3
2;20;3
2;21;3
2;22;3
2;23;3
2;24;3
2;25;3
2;26;3
2;27;3
2;28;3
2;29;3
2;30;3
2;31;3
2;32;3
2;33;3
2;34;3
2;35;3
2;36;3
2;37;3
2;38;3
2;39;3
2;40;3
2;41;3
2;42;3
2;43;3
2;44;3
2;45;3
2;46;3
2;47;3
2;48;3
3;47;4
4;46;4
4;45;4
4;44;4
4;43;4
4;42;4
4;41;4
4;40;4
4;39;4
4;38;4
4;37;4
4;36;4
4;35;4
4;34;4
4;33;4
4;32;4
4;31;4
4;30;4
4;29;4
4;28;4
4;27;4
4;26;4
4;25;4
4;24;4
4;23;4
4;22;4
4;21;4
4;20;4
4;19;4
4;18;4
4;17;4
4;16;4
